CSLAP Number,Lake Name,Waterbody Index Number,Elevation (meters),Area (hectares),Water Quality Classification,County,Town,Watershed Area (hectares),Mean Depth (meters),Watershed Name,Bathymetric Map available?,Public Access Description,Public Access?,Public/Private Access,Latitude,Longitude,Priority Waterbody List Number,Number of Years Sampled,Trophic State,Sampling Years,Report Location,Depth (feet),Area (acres),Last Year Sampled,Location1
115,Honeoye Lake,Ont 117- 27-P57,245,701.9,AA,Ontario,Richmond,10800,5.3,Genesee River,yes,"OPR/Town boat ramp, beach",yes,public ramp and beach,42.75282503,-77.51137329,0402-0032,6,Eutrophic,"1996-2000, 2017",http://www.nysfola.org,17,1734,2017,"(42.75282503, -77.51137329)"
61,Owasco Lake,Ont  66-12-43-P212,217,2745.4,AA(T),Cayuga,Auburn,52500,29.1,Seneca/Oneida/Oswego Rivers,yes,"county fee ramp, marinas",yes,public ramp,42.83134919,-76.50766525,0706-0009,8,Mesotrophic,"1989-1994, 1997, 2017",http://www.nysfola.org,95,6781,2017,"(42.83134919, -76.50766525)"
25,Silver Lake,Ont 117- 70-P115,412,328.9,A,Wyoming,Perry,5230,7.2,Genesee River,no,"OPR boat ramp, private marinas",yes,public ramp,42.69561,-78.03417,0403-0002,20,Eutrophic,"1986-1991, 1995-1997, 2006-2013, 2015-2017",http://www.nysfola.org,24,812,2017,"(42.69561, -78.03417)"
39,Eatonbrook Reservoir,SR- 44-82-P163,436,108.8,B,Madison,West Eaton,1804,6.2,Susquehanna River,yes,DEC boat ramp,yes,public ramp,42.86051,-75.6991,0602-0041,20,Mesoligotrophic,"1988-2000, 2010-2013, 2015-2017",http://www.nysfola.org,20,269,2017,"(42.86051, -75.6991)"
212,Song Lake,SR- 44-14-60-P68-P72,363,44,B,Cortland,Tully,255,4,Susquehanna River,yes,no,no,lakefront only,42.76854112,-76.14687685,0602-0019,8,Mesotrophic,"2009-2012, 2014-2017",http://www.nysfola.org,13,109,2017,"(42.76854112, -76.14687685)"
234,Tully Lake,SR-44-14-60-P68,364,93.2,B,Cortland,Tully,69,4.7,Susquehanna River,yes,DEC carry down,yes,public hand launch,42.77651921,-76.13528477,0602-0018,6,Mesotrophic,2012-2017,http://www.nysfola.org,15,230,2017,"(42.77651921, -76.13528477)"
41,Cazenovia Lake,Ont  66-11-P26-37-35-P153,363,479.2,A,Madison,Cazenovia,2230,7.1,Seneca/Oneida/Oswego Rivers,yes,town carry down,yes,public carry down,42.94983172,-75.87397824,0703-0021,26,Mesoligotrophic,"1988-2002, 2004-2008, 2011-2014, 2017",http://www.nysfola.org,23,1184,2017,"(42.94983172, -75.87397824)"
37,Craine Lake,SR- 44-76-P146,332,10.4,C,Madison,Hamilton,50,3.7,Susquehanna River,yes,local beach,no,private beach,42.76052,-75.55785,0602-0108,20,Mesotrophic,"1988-1994, 1996-1998, 2000-2001, 2009-2013, 2015-2017",http://www.nysfola.org,12,26,2017,"(42.76052, -75.55785)"
224,Upper Little York Lake,SR- 44-14-60-P67,351,41.4,B,Cortland,Homer,7860,9.9,Susquehanna River,yes,DEC boat ramp,yes,public ramp,42.70306702,-76.15626802,0602-0017,8,Mesoligotrophic,"2009-2013, 2015-2017",http://www.nysfola.org,32,102,2017,"(42.70306702, -76.15626802)"
17,Crooked Lake,SR- 44-14-60-P68-P73,364,46.6,B,Onondaga,Tully,903,4.9,Susquehanna River,yes,marina fee boat launch,no,private ramp,42.78741,-76.14978,0602-0090,19,Mesotrophic,"1986-1990, 1993-1998, 2009-2013, 2015-2017",http://www.nysfola.org,16,115,2017,"(42.78741, -76.14978)"