DAYS_IN,LAKE,LAKE_INV.YEAR,Count,Avg_length,StdDev_length,Min_length,Max_length,Abundance_m2
32,Cazenovia_A,Cazenovia_A - 1997,1,11.90,NA,11.9,11.9,12
54,Cazenovia_A,Cazenovia_A - 1997,13,10.16,2.57,3.67,13.03,150
82,Cazenovia_A,Cazenovia_A - 1997,8,7.83,3.14,2.79,11.74,92
152,Cazenovia_A,Cazenovia_A - 1997,163,4.02,1.54,1.31,13.09,1878
32,Cazenovia_B,Cazenovia_B - 1997,0,NA,NA,NA,NA,0
54,Cazenovia_B,Cazenovia_B - 1997,4,9.49,1.29,7.87,11.01,46
82,Cazenovia_B,Cazenovia_B - 1997,1,16.32,NA,16.32,16.32,12
152,Cazenovia_B,Cazenovia_B - 1997,207,4.27,2.00,1.3,16.89,2385
28,Craine,Craine - 2007,0,NA,NA,NA,NA,0
55,Craine,Craine - 2007,0,NA,NA,NA,NA,0
85,Craine,Craine - 2007,0,NA,NA,NA,NA,0
119,Craine,Craine - 2007,0,NA,NA,NA,NA,0
145,Craine,Craine - 2007,0,NA,NA,NA,NA,0
29,Crooked,Crooked - Not Invaded,0,NA,NA,NA,NA,0
56,Crooked,Crooked - Not Invaded,0,NA,NA,NA,NA,0
86,Crooked,Crooked - Not Invaded,0,NA,NA,NA,NA,0
120,Crooked,Crooked - Not Invaded,0,NA,NA,NA,NA,0
151,Crooked,Crooked - Not Invaded,0,NA,NA,NA,NA,0
28,EatonBrook,EatonBrook - 1999,30,8.80,3.92,2.01,15.04,346
55,EatonBrook,EatonBrook - 1999,208,9.94,3.81,2.96,18.19,2396
85,EatonBrook,EatonBrook - 1999,136,9.29,2.65,1.1,14.79,1567
119,EatonBrook,EatonBrook - 1999,161,7.83,4.57,0.99,17.93,1855
145,EatonBrook,EatonBrook - 1999,206,7.17,4.00,1.42,20.38,2373
31,Honeoye,Honeoye - 1998,213,10.34,2.86,2.68,16.84,2454
55,Honeoye,Honeoye - 1998,72,10.79,2.56,5.94,17.51,829
92,Honeoye,Honeoye - 1998,144,8.36,4.80,0.86,17.45,1659
118,Honeoye,Honeoye - 1998,124,9.26,4.30,1.21,17.08,1429
150,Honeoye,Honeoye - 1998,86,8.59,3.50,1.55,17.44,991
39,Owasco,Owasco - 1997,41,5.13,1.85,1.88,9.82,472
53,Owasco,Owasco - 1997,32,6.61,1.87,3.6,9.82,369
83,Owasco,Owasco - 1997,71,6.70,4.07,0.86,14.7,818
133,Owasco,Owasco - 1997,86,8.87,4.03,2.69,16.57,991
28,Silver,Silver - 2001,56,9.34,3.32,2.02,15.87,645
63,Silver,Silver - 2001,88,9.66,3.43,3.03,16.1,1014
83,Silver,Silver - 2001,199,10.70,3.26,3.51,18.52,2293
131,Silver,Silver - 2001,77,11.56,3.14,4.4,18.35,887
150,Silver,Silver - 2001,110,11.00,4.24,1.11,17.76,1267
29,Song,Song - 2017,46,7.68,1.97,2.64,11.85,530
56,Song,Song - 2017,33,10.03,2.06,5.7,15.49,380
86,Song,Song - 2017,67,11.00,2.11,6.09,15.32,772
120,Song,Song - 2017,67,11.50,2.79,2.78,18.59,772
151,Song,Song - 2017,62,11.11,3.48,1.06,15.97,714
29,Tully,Tully - Not Invaded,0,NA,NA,NA,NA,0
56,Tully,Tully - Not Invaded,0,NA,NA,NA,NA,0
86,Tully,Tully - Not Invaded,0,NA,NA,NA,NA,0
120,Tully,Tully - Not Invaded,0,NA,NA,NA,NA,0
151,Tully,Tully - Not Invaded,0,NA,NA,NA,NA,0
30,UpperLittleYork_A,UpperLittleYork_A - 2013,150,6.86,1.66,3.24,10.31,1728
62,UpperLittleYork_A,UpperLittleYork_A - 2013,177,8.13,2.28,2.23,13.23,2039
122,UpperLittleYork_A,UpperLittleYork_A - 2013,146,9.29,2.57,3.78,15.25,1682
152,UpperLittleYork_A,UpperLittleYork_A - 2013,233,9.64,2.75,1.93,16.56,2684