BRICK,LAKE,LAKE_INV.YEAR,Count,Avg_length,RPD_length,StdDev_length,Min_length,Max_length,Abundance_m2,RPD_Abundance
Brick 1,Cazenovia_A,Cazenovia_A - 1997,1,11.90,,NA,11.9,11.9,12,
Brick 2,Cazenovia_A,Cazenovia_A - 1997,13,10.16,-15.76,2.57,3.67,13.03,150,171.43
Brick 3,Cazenovia_A,Cazenovia_A - 1997,8,7.83,-25.97,3.14,2.79,11.74,92,-47.62
Brick 4,Cazenovia_A,Cazenovia_A - 1997,163,4.02,-64.18,1.54,1.31,13.09,1878,181.29
Brick 1,Cazenovia_B,Cazenovia_B - 1997,0,NA,,NA,NA,NA,NA,
Brick 2,Cazenovia_B,Cazenovia_B - 1997,4,9.49,NA,1.29,7.87,11.01,46,NA
Brick 3,Cazenovia_B,Cazenovia_B - 1997,1,16.32,52.97,NA,16.32,16.32,12,-120.00
Brick 4,Cazenovia_B,Cazenovia_B - 1997,207,4.27,-117.05,2.00,1.3,16.89,2385,198.08
Brick 1,EatonBrook,EatonBrook - 1999,30,8.80,,3.92,2.01,15.04,346,
Brick 2,EatonBrook,EatonBrook - 1999,208,9.94,12.19,3.81,2.96,18.19,2396,149.58
Brick 3,EatonBrook,EatonBrook - 1999,136,9.29,-6.75,2.65,1.1,14.79,1567,-41.86
Brick 4,EatonBrook,EatonBrook - 1999,161,7.83,-17.06,4.57,0.99,17.93,1855,16.84
Brick 5,EatonBrook,EatonBrook - 1999,206,7.17,-8.80,4.00,1.42,20.38,2373,24.52
Brick 1,Honeoye,Honeoye - 1998,213,10.34,,2.86,2.68,16.84,2454,
Brick 2,Honeoye,Honeoye - 1998,72,10.79,4.26,2.56,5.94,17.51,829,-98.95
Brick 3,Honeoye,Honeoye - 1998,144,8.36,-25.43,4.80,0.86,17.45,1659,66.67
Brick 4,Honeoye,Honeoye - 1998,124,9.26,10.20,4.30,1.21,17.08,1429,-14.93
Brick 5,Honeoye,Honeoye - 1998,86,8.59,-7.45,3.50,1.55,17.44,991,-36.19
Brick 1,Owasco,Owasco - 1997,41,5.13,,1.85,1.88,9.82,472,
Brick 2,Owasco,Owasco - 1997,32,6.61,25.20,1.87,3.6,9.82,369,-24.66
Brick 3,Owasco,Owasco - 1997,71,6.70,1.30,4.07,0.86,14.7,818,75.73
Brick 4,Owasco,Owasco - 1997,86,8.87,27.94,4.03,2.69,16.57,991,19.11
Brick 1,Silver,Silver - 2001,56,9.34,,3.32,2.02,15.87,645,
Brick 2,Silver,Silver - 2001,88,9.66,3.31,3.43,3.03,16.1,1014,44.44
Brick 3,Silver,Silver - 2001,199,10.70,10.27,3.26,3.51,18.52,2293,77.35
Brick 4,Silver,Silver - 2001,77,11.56,7.72,3.14,4.4,18.35,887,-88.41
Brick 5,Silver,Silver - 2001,110,11.00,-4.98,4.24,1.11,17.76,1267,35.29
Brick 1,Song,Song - 2017,46,7.68,,1.97,2.64,11.85,530,
Brick 2,Song,Song - 2017,33,10.03,26.44,2.06,5.7,15.49,380,-32.91
Brick 3,Song,Song - 2017,67,11.00,9.24,2.11,6.09,15.32,772,68.00
Brick 4,Song,Song - 2017,67,11.50,4.46,2.79,2.78,18.59,772,0.00
Brick 5,Song,Song - 2017,62,11.11,-3.42,3.48,1.06,15.97,714,-7.75
Brick 1,UpperLittleYork_A,UpperLittleYork_A - 2013,150,6.86,,1.66,3.24,10.31,1728,
Brick 2,UpperLittleYork_A,UpperLittleYork_A - 2013,177,8.13,16.94,2.28,2.23,13.23,2039,16.51
Brick 3,UpperLittleYork_A,UpperLittleYork_A - 2013,146,9.29,13.37,2.57,3.78,15.25,1682,-19.20
Brick 4,UpperLittleYork_A,UpperLittleYork_A - 2013,233,9.64,3.62,2.75,1.93,16.56,2684,45.91